feature,mean_abs_shap
temp,27.76442910406686
temp_lag_1h,26.30790158700238
temp_lag_3h,13.89134774747394
aqi_epa,12.099223207146741
aqi_roll_mean_6h,10.411865817665634
aqi_lag_12h,7.698025535931428
humidity,5.802302396908962
aqi_lag_6h,5.66353085062341
humidity_lag_3h,4.918413329205723
pressure,4.2234073458906805
aqi_lag_1h,3.4611517904251565
aqi_lag_24h,3.3902545380757374
hour,1.8349897127345585
humidity_lag_1h,1.825374671926144
aqi_lag_3h,1.6889030845208346
wind_speed,1.6839299785967123
day_of_week,1.5041586402095903
aqi_roll_std_6h,1.0734458144672294
wind_speed_lag_1h,0.8225101860081335
wind_deg,0.2743508046461673
wind_speed_lag_3h,0.2642758693405511
