feature,mean_abs_shap
temp_lag_1h,25.5731057014854
temp,24.2397697505422
aqi_roll_mean_6h,13.975837526838271
aqi_epa,11.753015993778344
pressure,9.617820122848979
aqi_lag_12h,8.47174327931553
aqi_lag_1h,8.027566059264238
aqi_lag_6h,7.12219299486152
temp_lag_3h,5.584675779685428
humidity_lag_1h,4.304138136825081
wind_deg,3.1778131307086057
aqi_lag_24h,2.8954561563825947
humidity,2.8517516389305513
aqi_lag_3h,2.139575780556821
day_of_week,2.0923704027921186
hour,1.9982163057249254
aqi_roll_std_6h,1.6499149708075085
humidity_lag_3h,1.5260260417871305
wind_speed_lag_1h,1.4471056805926419
wind_speed_lag_3h,0.8249520215992481
wind_speed,0.43819161226624737
