feature,mean_abs_shap
temp,25.452878322682558
temp_lag_1h,21.40186222461496
aqi_roll_mean_6h,14.354191237161304
pressure,10.200552052297517
aqi_lag_24h,5.901870566593011
aqi_lag_12h,5.861703059451532
aqi_lag_6h,5.050511483640776
aqi_lag_1h,4.9001263768531285
wind_deg,4.836078236225109
humidity_lag_3h,4.623233076862494
humidity,3.726415065565914
hour,3.4663640347369253
aqi_epa,3.2293754717629515
aqi_lag_3h,3.1569387900035877
temp_lag_3h,2.199663978816615
humidity_lag_1h,1.7522272988390675
aqi_roll_std_6h,1.5068200361177893
wind_speed_lag_3h,1.3783504865467044
wind_speed_lag_1h,1.2413635719920841
day_of_week,0.23262241647145343
wind_speed,0.14425485473630484
